allDay,dayOfWeek,startHour,endHour
false,3,1230,0
false,2,1230,0
false,1,1230,0
false,7,1100,2130
false,6,1100,2130
false,5,1100,2130
false,4,1100,2130
false,3,1100,2130
false,2,1100,2130
false,1,1100,2130
false,7,1700,2300
false,6,1200,2300
false,5,1200,2300
false,4,1200,2300
false,3,1200,2300
false,2,1200,2300
false,7,1100,2300
false,6,1100,2300
false,5,1100,2300
false,4,1100,2300
false,3,1100,2300
false,1,1200,1800
false,7,1200,1800
false,6,1200,1800
false,5,1200,1800
false,4,1200,1800
false,3,1400,1800
false,7,1500,300
false,6,1500,300
false,5,1600,300
false,4,1600,300
false,3,1600,300
false,2,1600,300
false,1,1500,300
true,7,0,0
true,6,0,0
true,5,0,0
true,4,0,0
true,3,0,0
true,2,0,0
true,1,0,0
false,7,1100,0
false,6,1100,0
false,5,1100,0
false,4,1100,0
false,3,1100,0
false,2,1100,0
false,1,1100,0
false,7,2000,2359
false,6,700,1400
false,5,700,2359
false,4,700,2359
false,3,700,2359
false,2,700,2359
false,1,700,2359
false,7,1830,300
false,6,1830,300
false,5,1830,230
false,4,1830,230
false,3,1830,230
false,7,900,2000
false,6,900,2000
false,5,900,2000
false,4,900,2000
false,3,900,2000
false,2,900,2000
false,1,900,2000
false,7,1130,2200
false,6,1130,2200
false,5,1130,2200
false,4,1130,2200
false,3,1130,2200
false,2,1130,2200
false,1,1130,2200
false,7,700,100
false,6,700,100
false,5,700,100
false,4,700,0
false,3,700,0
false,2,700,0
false,1,700,0
false,7,2000,2330
false,7,1100,1630
false,6,2000,2330
false,6,1000,1600
false,5,1000,1600
false,4,1000,1600
false,3,1000,1600
false,2,1000,1600
false,1,1100,1630
false,7,1100,200
false,6,1100,200
false,5,1100,100
false,4,1100,100
false,3,1100,100
false,2,1100,100
false,1,1100,100
false,7,1000,2300
false,6,830,2300
false,5,830,2300
false,4,830,2300
false,3,830,2300
false,2,830,2300
false,1,1000,1600
false,7,1600,2100
false,7,1100,1500
false,6,1600,2100
false,6,1100,1500
false,5,1600,2100
false,5,1100,1500
false,4,1600,2100
false,4,1100,1500
false,3,1600,2100
false,3,1100,1500
false,2,1600,2100
false,2,1100,1500
false,7,1030,1900
false,6,1430,2000
false,6,1030,1330
false,5,1430,1900
false,5,1030,1330
false,4,1430,1900
false,4,1030,1330
false,3,1430,1900
false,3,1030,1330
false,2,1430,1900
false,2,1030,1330
true,7,0,0
true,6,0,0
true,5,0,0
true,4,0,0
true,3,0,0
true,2,0,0
true,1,0,0
false,7,1100,2000
false,6,1100,2000
false,5,1100,2000
false,4,1100,2000
false,3,1100,2000
false,2,1100,2000
false,1,1000,1700
false,7,1600,0
false,6,1800,0
false,5,1800,0
false,4,1800,0
false,1,1800,2300
false,7,1600,30
false,6,1700,30
false,5,1700,0
false,4,1700,0
false,3,1700,0
false,2,1700,0
false,1,1400,2230
false,7,830,1830
false,6,700,1830
false,5,700,1830
false,4,700,1830
false,3,700,1830
false,2,700,1830
false,1,930,1730
false,7,1200,2230
false,6,1200,2230
false,5,1200,2230
false,4,1200,2230
false,3,1200,2230
false,2,1200,2230
false,1,1400,2200
false,7,1000,2200
false,6,1000,2200
false,5,1000,2200
false,4,1000,2200
false,3,1000,2200
false,2,1000,2200
false,1,1100,1900
false,7,900,1900
false,6,1100,2100
false,5,1100,1900
false,4,1100,1900
false,3,1100,1900
false,2,1100,1900
false,1,900,1900
false,7,1100,1700
false,6,1100,1830
false,5,1100,1830
false,4,1100,1830
false,3,1100,1830
false,2,1100,1830
false,7,800,2100
false,6,700,2100
false,5,700,2100
false,4,700,2100
false,3,700,2100
false,2,700,2100
false,1,800,2100
false,7,1100,0
false,6,1100,0
false,5,1100,0
false,2,1100,0
false,1,1100,0
false,5,1200,2300
false,4,1200,2300
false,3,1200,2300
false,2,1200,2300
false,1,1200,2300
false,7,1730,2330
false,6,1200,2330
false,5,1200,2330
false,4,1730,2330
false,3,1730,2330
false,2,1730,2330
false,1,1730,2230
false,7,1200,400
false,6,1200,400
false,5,1200,400
false,4,1200,400
false,3,1200,400
false,2,1200,400
false,1,1200,400
false,7,1130,1900
false,6,1200,1900
false,5,1200,1900
false,4,1200,1900
false,3,1200,1900
false,1,1130,1900
false,7,1100,1800
false,6,1100,1900
false,5,1100,1900
false,4,1100,1900
false,3,1100,1900
false,2,1100,1900
false,7,1200,300
false,6,1200,300
false,5,1600,100
false,4,1600,100
false,3,1600,100
false,2,1600,100
false,2,0,100
false,1,1200,1900
false,7,1100,2100
false,5,1000,2000
false,4,1000,2000
false,3,1000,2000
false,2,1000,2000
false,1,1100,2100
false,7,1130,400
false,6,1130,400
false,5,1130,400
false,4,1130,200
false,3,1130,200
false,2,1130,200
false,1,1130,200
false,7,1700,300
false,6,1700,300
false,5,1700,200
false,4,1700,100
false,3,1700,100
false,2,1700,100
false,1,1600,0
false,7,1130,2300
false,6,1130,2300
false,5,1130,2300
false,4,1130,2300
false,3,1130,2300
false,2,1130,2300
false,1,1130,2300
false,7,930,2000
false,6,930,2000
false,5,930,2000
false,4,930,2000
false,3,930,2000
false,2,930,2000
false,1,930,2000
false,7,1930,0
false,6,1930,0
false,5,1930,0
false,4,1930,0
false,3,1930,0
false,2,1930,0
false,1,1930,0
false,7,1000,400
false,6,1000,400
false,5,1000,400
false,4,1000,400
false,3,1000,200
false,2,1000,200
false,1,1000,200
false,7,1100,2200
false,6,1100,2200
false,5,1100,2200
false,4,1100,2200
false,3,1100,2200
false,2,1100,2200
false,1,1200,2200
false,7,1100,1930
false,6,1100,1930
false,5,1100,1930
false,4,1100,1930
false,3,1100,1930
false,2,1100,1930
false,1,1200,1830
false,7,800,1600
false,6,800,1900
false,5,900,1900
false,4,900,1800
false,3,900,1800
false,2,900,1800
false,7,800,2100
false,6,530,2200
false,5,530,2300
false,4,530,2300
false,3,530,2300
false,2,530,2300
false,1,800,2100
false,7,1230,300
false,6,1230,300
false,5,1230,200
false,4,1230,200
false,3,1230,200
false,2,1230,200
false,1,1230,0
false,7,600,1800
false,6,600,1800
false,5,600,1800
false,4,600,1800
false,3,600,1800
false,2,600,1800
false,1,600,1800
false,7,1100,2300
false,6,1100,2300
false,5,1100,2200
false,4,1100,2200
false,3,1100,2200
false,2,1100,2200
false,1,1100,2200
false,7,1100,100
false,6,1100,100
false,5,1100,100
false,4,1100,100
false,3,1100,100
false,2,1100,100
false,1,1100,100
false,7,1200,1900
false,6,1200,1900
false,5,1200,1900
false,4,1200,1900
false,3,1200,1900
false,2,1200,1900
false,1,1200,1900
false,7,900,2200
false,6,900,2200
false,5,900,2200
false,4,900,2200
false,3,900,2200
false,2,900,2200
false,1,900,2200
false,7,1030,1930
false,6,1030,1930
false,5,1030,1930
false,4,1030,1930
false,3,1030,1930
false,2,1030,1930
false,1,1030,1730
false,7,1930,2300
false,6,1930,2300
false,6,1200,1430
false,5,1930,2300
false,5,1200,1430
false,4,1930,2300
false,4,1200,1430
false,3,1930,2300
false,3,1200,1430
false,2,1930,2300
false,2,1200,1430
false,7,1730,2245
false,6,1730,2245
false,5,1730,2245
false,4,1730,2245
false,3,1730,2245
false,2,1730,2245
false,1,1730,2245
false,6,1600,1800
false,5,1600,1800
false,4,1600,1800
false,3,1600,1800
false,7,2100,900
false,6,2100,800
false,4,2000,300
false,7,1215,0
false,6,1215,0
false,5,1215,0
false,4,1215,0
false,3,1215,0
false,2,1215,0
false,1,1215,0
false,7,1000,2000
false,6,1100,2000
false,5,1100,2200
false,4,1100,2000
false,1,1000,2000
false,7,1100,0
false,6,1100,0
false,5,1100,0
false,4,1100,0
false,3,1100,0
false,2,1100,0
false,1,1100,0
false,7,958,0
false,6,800,0
false,5,800,2300
false,4,800,2300
false,3,800,2300
false,2,800,2300
false,1,1200,2300
false,7,1400,400
false,6,1400,400
false,5,1800,400
false,4,1900,400
false,3,1900,400
false,2,1900,400
false,1,1900,400
false,7,1800,230
false,7,1100,1400
false,6,1900,230
false,5,1900,200
false,4,1900,200
false,3,1900,0
false,1,1800,0
false,1,1100,1400
false,7,1930,2230
false,7,1230,1430
false,6,1930,2230
false,6,1230,1430
false,5,1930,2230
false,5,1230,1430
false,4,1930,2230
false,4,1230,1430
false,3,1930,2230
false,3,1230,1430
false,2,1930,2230
false,7,1200,130
false,6,1200,130
false,5,1200,100
false,4,1600,100
false,3,1600,100
false,2,1600,100
false,1,1200,0
false,7,700,200
false,6,700,200
false,5,700,0
false,4,700,0
false,3,700,0
false,2,700,0
false,1,700,0
false,6,1400,1800
false,6,1000,1200
false,5,1400,1800
false,5,1000,1200
false,4,1400,1800
false,4,1000,1200
false,3,1400,1800
false,3,1000,1200
false,2,1400,1800
false,2,1000,1200
false,7,1100,1700
false,6,1100,1830
false,5,1100,1830
false,4,1100,1830
false,3,1100,1830
false,2,1100,1830
false,1,1200,1500
false,7,1100,300
false,6,1100,300
false,5,1100,300
false,4,1100,300
false,3,1100,300
false,2,1100,300
false,1,1100,300
false,7,1000,1700
false,6,1000,1800
false,5,1000,1800
false,4,1000,1800
false,3,1000,1800
false,2,1200,1800
false,1,1200,1700
false,7,1000,100
false,6,1000,100
false,5,1000,100
false,4,1000,100
false,3,1000,100
false,2,1000,100
false,1,1000,100
false,7,930,1600
false,6,930,1600
false,5,830,2130
false,4,830,2130
false,3,930,1600
false,2,830,2130
false,7,800,1600
false,6,800,1500
false,5,800,1500
false,4,800,1500
false,3,800,1500
false,2,800,1500
false,1,800,1600
false,7,1145,2330
false,6,1145,2330
false,5,1145,2300
false,4,1145,2300
false,3,1145,2300
false,2,1145,2300
false,1,1145,2330
false,7,1230,0
false,6,1230,0
false,5,1800,0
false,4,1800,0
false,3,1800,0
false,2,1800,0
false,7,900,1700
false,6,900,1700
false,5,900,1700
false,4,900,1700
false,3,900,1700
false,2,900,1700
false,1,900,1700
false,7,1000,1800
false,6,1000,1800
false,5,1000,1800
false,4,1000,1800
false,2,1000,1800
false,1,1000,1800
false,7,1100,0
false,6,1100,0
false,5,1100,2300
false,4,1100,2300
false,3,1100,2300
false,2,1100,2300
false,1,1100,2300
true,7,0,0
true,6,0,0
true,5,0,0
true,4,0,0
true,3,0,0
true,2,0,0
true,1,0,0
false,7,900,0
false,6,900,0
false,5,1200,0
false,4,1700,0
false,3,1700,0
false,2,1700,0
false,1,1700,0
false,7,700,2200
false,6,700,2200
false,5,700,2200
false,4,700,2200
false,3,700,2200
false,2,700,2200
false,1,700,2200
false,7,800,2300
false,6,800,2300
false,5,800,2300
false,4,800,2300
false,3,800,2300
false,2,800,2300
false,1,800,2300
false,7,1200,200
false,6,1200,0
false,5,1200,0
false,4,1200,0
false,3,1200,0
false,2,1200,0
false,1,1200,0
false,7,1100,200
false,6,1100,200
false,5,1100,200
false,4,1100,200
false,3,1100,200
false,2,1100,200
false,1,1100,200
false,7,1000,1900
false,6,1000,1900
false,5,1000,1900
false,4,1000,1900
false,3,1000,1900
false,2,1000,1900
false,7,730,0
false,6,830,0
false,5,800,2100
false,4,800,2100
false,3,800,2100
false,2,800,2100
false,1,800,2100
false,7,1200,0
false,6,1200,0
false,5,1200,2300
false,4,1200,2300
false,3,1200,2200
false,2,1200,2200
false,1,1200,2200
false,7,1000,2100
false,6,1000,2100
false,5,1000,2100
false,4,1000,2100
false,2,1000,2100
false,1,1000,2100
false,7,1200,0
false,6,1200,0
false,5,1200,0
false,4,1200,0
false,3,1200,0
false,2,1200,0
false,1,1200,0
false,7,2200,500
false,6,2200,500
false,5,2100,300
false,7,1000,2200
false,6,1000,2200
false,5,1000,2200
false,4,1000,2200
false,3,1000,2200
false,2,1000,2200
false,1,1400,2000
false,7,1200,2200
false,6,1100,1700
false,5,1100,2200
false,4,1100,2200
false,3,1100,2200
false,2,1100,2200
false,1,1100,2200
false,7,900,2245
false,6,730,2245
false,5,730,2145
false,4,730,2145
false,3,730,2145
false,2,730,2145
false,1,900,1645
false,7,700,1900
false,6,700,1900
false,5,700,1900
false,4,700,1900
false,3,700,1900
false,2,700,1900
false,1,700,1900
false,7,1700,200
false,6,1700,200
false,5,1700,0
false,4,1700,0
false,3,1700,0
false,2,1700,0
false,1,1700,0
false,6,800,2000
false,5,800,2000
false,4,800,2000
false,3,800,2000
false,2,800,2000
false,1,1000,1700
false,7,1030,2230
false,6,1030,2230
false,5,1030,2130
false,4,1030,2130
false,3,1030,2130
false,2,1030,2130
false,1,1030,2130
false,7,700,2100
false,6,700,2100
false,5,700,2100
false,4,700,2100
false,3,700,2100
false,2,700,2100
false,1,700,2100
false,7,1800,2200
false,7,1000,1500
false,6,1800,2200
false,6,1000,1500
false,5,1800,2200
false,5,1000,1500
false,4,1800,2200
false,4,1000,1500
false,3,1800,2200
false,2,1800,2200
false,2,1000,1500
false,1,1800,2200
false,1,1000,1500
false,7,900,30
false,6,900,30
false,5,900,2330
false,4,900,2330
false,3,900,2330
false,2,900,2330
false,1,900,2330
false,7,1600,500
false,6,1600,500
false,5,1600,300
false,4,1600,300
false,3,1600,200
false,2,1600,200
false,1,1600,0
false,7,900,2200
false,6,900,2200
false,5,900,2200
false,4,900,2200
false,3,900,2200
false,2,900,2200
false,1,900,2200
false,7,1100,600
false,6,900,600
false,5,900,2330
false,4,900,2300
false,3,900,2300
false,2,900,2300
false,1,1100,2300
false,7,1800,200
false,6,1800,200
false,5,1800,200
false,4,1800,200
false,3,1800,200
false,2,1800,200
false,7,1000,1900
false,6,1000,1900
false,5,1000,1900
false,4,1000,1900
false,3,1000,1900
false,2,1000,1900
false,1,1000,1900
false,7,1900,2330
false,7,1200,1430
false,6,1900,2330
false,6,1200,1430
false,5,1900,2330
false,5,1200,1430
false,4,1900,2330
false,4,1200,1430
false,3,1900,2330
false,3,1200,1430
false,2,1900,2330
false,2,1200,1430
false,1,1900,2330
false,1,1200,1430
false,7,1300,400
false,6,1500,300
false,5,1500,0
false,4,1500,2300
false,3,1500,2300
false,2,1500,2300
false,1,1300,2300
false,7,1200,1900
false,6,1100,1900
false,5,1100,1900
false,4,1100,1900
false,3,1100,1900
false,2,1100,1900
false,7,1130,500
false,6,1130,500
false,5,1130,200
false,4,1130,200
false,3,1130,200
false,2,1130,200
false,1,1130,200
false,7,1900,200
false,6,2000,200
false,5,2000,200
false,4,2000,200
false,3,2000,200
false,2,2000,200
false,1,1900,200
false,7,1000,2100
false,6,1000,2200
false,5,1000,2200
false,4,1000,2200
false,3,1000,2200
false,1,1000,1830
false,7,1200,300
false,6,1800,300
false,5,1800,300
false,4,1800,300
false,3,1800,300
false,2,1800,300
false,1,1800,300
false,7,1200,0
false,6,1200,0
false,5,1200,2300
false,4,1200,2300
false,3,1200,2300
false,2,1200,2300
false,1,1130,2130
false,7,1100,2100
false,6,1100,2100
false,5,1100,2100
false,4,1100,2100
false,3,1100,2100
false,2,1100,2100
false,7,1000,200
false,6,1100,200
false,5,1100,100
false,4,1100,100
false,3,1100,100
false,2,1100,100
false,1,1000,100
false,7,600,2200
false,6,600,2200
false,5,600,2200
false,4,600,2200
false,3,600,2200
false,2,600,2200
false,1,600,2200
false,7,800,0
false,6,800,2300
false,5,800,0
false,4,800,0
false,3,800,0
false,2,800,0
false,1,800,0
false,7,1200,100
false,6,1200,100
false,5,1600,0
false,4,1600,2300
false,3,1600,2300
false,2,1600,2300
false,1,1200,2300
false,7,1800,200
false,6,1930,200
false,5,1800,200
false,4,1800,200
false,3,1800,200
false,2,1800,200
false,1,1800,200
false,7,1900,200
false,7,1100,1700
false,6,1900,200
false,5,1900,100
false,4,1900,100
false,3,1900,100
false,1,1200,1800
false,7,745,0
false,6,745,200
false,5,745,200
false,4,745,200
false,3,745,200
false,2,745,0
false,7,1900,2330
false,6,1100,1500
false,5,1100,2300
false,4,1100,2300
false,3,1100,2300
false,2,1100,2300
false,1,1100,2300
false,7,900,1400
false,6,1600,2000
false,6,900,1400
false,5,1600,2000
false,5,900,1400
false,4,1600,2000
false,4,900,1400
false,3,1600,2000
false,3,900,1400
false,2,1600,2000
false,2,900,1400
false,1,900,1400
false,7,900,2200
false,6,800,2200
false,5,800,2200
false,4,800,2200
false,3,800,2200
false,2,800,2200
false,1,900,2100
false,7,1200,1900
false,6,1200,1900
false,5,1200,1900
false,4,1200,1900
false,2,1200,1900
false,1,1200,1900
false,3,530,2300
false,7,1000,0
false,6,1000,0
false,5,1000,0
false,4,1000,0
false,3,1000,0
false,2,1000,0
false,1,1000,0
false,7,1000,1745
false,6,1000,1745
false,5,1000,1745
false,4,1000,1745
false,3,1000,1745
false,2,1000,1745
false,1,1000,1745
false,7,1600,0
false,6,1700,0
false,6,1100,1400
false,5,1700,0
false,5,1100,1400
false,4,1700,0
false,4,1100,1400
false,3,1700,0
false,3,1100,1400
false,2,1100,1400
false,6,1400,1900
false,5,1400,1900
false,4,1400,1900
false,3,1400,1900
false,7,900,1800
false,6,1000,1800
false,5,1000,1800
false,4,1000,1800
false,3,1000,1800
false,2,1000,1800
false,1,1200,1800
false,7,1200,100
false,6,730,100
false,5,730,0
false,4,730,0
false,3,730,0
false,2,730,0
false,1,1200,2200
false,7,800,2230
false,6,800,1930
false,5,800,2230
false,4,800,1930
false,3,800,1930
false,2,800,1930
false,1,800,1930
false,7,1700,400
false,6,1700,400
false,5,1700,200
false,4,1700,200
false,3,1700,200
false,2,1700,200
false,1,1700,200
false,7,1230,0
false,6,1230,0
false,5,1230,0
false,4,1230,0
false,3,1230,0
false,2,1230,0
false,1,1230,0
false,7,1130,2330
false,6,1130,2330
false,5,1130,2330
false,4,1130,2330
false,3,1130,2330
false,2,1130,2330
false,1,1130,2330
false,7,1800,400
false,6,1800,400
false,5,1800,200
false,4,1800,200
false,3,1800,200
false,2,1800,200
false,7,1400,2200
false,6,1000,2200
false,5,1000,2100
false,4,1000,2100
false,3,1000,2100
false,2,1000,2100
false,1,1400,2100
false,7,1330,100
false,7,0,100
false,6,1200,1700
false,5,1230,200
false,4,1230,100
false,3,1230,100
false,2,1230,100
false,1,1230,100
false,7,600,0
false,6,600,0
false,5,600,0
false,4,600,0
false,3,600,0
false,2,600,0
false,1,600,0
false,7,1400,300
false,6,1130,300
false,5,1130,300
false,4,1130,300
false,3,1130,300
false,2,1130,300
false,1,1400,300
false,7,1200,1800
false,6,1000,2000
false,5,1000,2000
false,4,1000,2000
false,3,1000,2000
false,2,1000,2000
false,7,1800,2300
false,6,1700,2300
false,6,1130,1500
false,5,1700,2200
false,5,1130,1500
false,4,1700,2200
false,4,1130,1500
false,3,1700,2200
false,3,1130,1500
false,1,1700,2200
false,7,800,1800
false,6,630,1800
false,5,630,1800
false,4,630,1800
false,3,630,1800
false,2,630,1800
false,1,900,1800
true,7,0,0
true,6,0,0
true,5,0,0
true,4,0,0
true,3,0,0
true,2,0,0
true,1,0,0
false,7,1130,130
false,6,1130,130
false,5,1130,100
false,4,1130,100
false,3,1130,100
false,2,1130,100
false,1,1130,100
false,7,1100,1900
false,6,1200,2100
false,5,1200,2100
false,4,1200,2100
false,3,1400,2100
false,7,900,1800
false,6,700,1800
false,5,700,1800
false,4,700,1800
false,3,700,1800
false,2,700,1800
false,1,900,1800
false,7,1000,200
false,6,1200,200
false,5,1200,0
false,4,1200,0
false,3,1200,0
false,2,1200,0
false,1,1000,0
false,7,1830,0
false,7,1230,1700
false,6,1800,0
false,6,1230,1700
false,5,1800,0
false,5,1230,1700
false,4,1800,0
false,4,1230,1700
false,3,1800,0
false,3,1230,1700
false,2,1800,0
false,2,1230,1700
false,1,1800,0
false,1,1230,1700
false,7,930,2330
false,6,930,2330
false,5,930,2330
false,4,930,2330
false,3,930,2330
false,2,930,2330
false,1,930,2330
false,7,930,2300
false,6,1130,2300
false,5,1130,2230
false,4,1130,2230
false,3,1130,2230
false,2,1130,2230
false,1,930,2200
true,7,0,0
true,6,0,0
true,5,0,0
true,4,0,0
true,3,0,0
true,2,0,0
true,1,0,0
false,7,1930,2230
false,7,1230,1430
false,6,1930,2230
false,6,1230,1430
false,5,1930,2230
false,5,1230,1430
false,4,1930,2230
false,4,1230,1430
false,3,1930,2230
false,3,1230,1430
false,2,1930,2230
false,2,1230,1430
false,1,1930,2230
false,1,1230,1430
false,7,800,1800
false,6,800,1800
false,5,800,1800
false,4,800,1800
false,3,800,1800
false,2,800,1800
false,1,800,1800
false,7,1300,2230
false,6,1800,2230
false,5,1800,2230
false,4,1800,2230
false,3,1800,2230
false,1,1200,1600
false,7,730,2000
false,6,730,2000
false,5,730,2000
false,4,730,2000
false,3,730,2000
false,2,730,2000
false,1,900,2000
false,7,1200,2300
false,6,800,2300
false,5,800,2300
false,4,800,2300
false,3,800,2300
false,2,800,2300
false,7,1030,0
false,6,1030,0
false,5,1030,0
false,4,1030,0
false,3,1030,0
false,2,1030,0
false,1,1030,0
false,6,700,1500
false,5,700,2300
false,4,700,2300
false,3,700,2300
false,2,700,2300
false,1,700,2300
false,7,1200,2300
false,6,1200,2300
false,5,1600,2300
false,4,1600,2300
false,3,1600,2300
false,2,1600,2300
false,1,1200,2230
false,7,1130,100
false,6,1100,100
false,5,1130,2300
false,4,1130,2200
false,3,1130,2100
false,2,1130,2100
false,1,1130,0
false,7,1000,200
false,6,1030,200
false,5,1030,100
false,4,1030,100
false,3,1030,100
false,2,1030,100
false,1,1000,100
false,7,830,1700
false,6,800,1900
false,5,800,1900
false,4,800,1900
false,3,800,1900
false,2,800,1900
false,1,900,1700
false,6,930,1500
false,5,930,1900
false,4,930,1900
false,3,930,1900
false,2,930,1900
false,1,930,1900
false,7,1000,200
false,6,1000,200
false,5,1000,200
false,4,1000,200
false,3,1000,200
false,2,1000,200
false,1,1000,200
true,7,0,0
true,6,0,0
true,5,0,0
true,4,0,0
true,3,0,0
true,2,0,0
true,1,0,0
false,7,1000,1900
false,6,900,2000
false,5,900,2000
false,4,900,2000
